"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Label","Percentile_Range"
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Arizona","AZ","Total","Total","10.0","9.1","10.8","10.0 (9.1-10.8)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Arkansas","AR","Total","Total","13.7","12.4","15.0","13.7 (12.4-15.0)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","California","CA","Total","Total","10.1","9.3","10.9","10.1 (9.3-10.9)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Colorado","CO","Total","Total","9.7","8.9","10.5","9.7 (8.9-10.5)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Connecticut","CT","Total","Total","8.3","7.4","9.2","8.3 (7.4-9.2)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Delaware","DE","Total","Total","9.4","8.1","10.7","9.4 (8.1-10.7)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","District of Columbia","DC","Total","Total","6.5","5.3","7.7","6.5 (5.3-7.7)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Florida","FL","Total","Total","10.6","9.4","11.7","10.6 (9.4-11.7)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Georgia","GA","Total","Total","10.3","9.3","11.3","10.3 (9.3-11.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Guam","GU","Total","Total","12.0","9.3","14.8","12.0 (9.3-14.8)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Hawaii","HI","Total","Total","8.6","7.7","9.5","8.6 (7.7-9.5)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Idaho","ID","Total","Total","9.9","8.9","10.8","9.9 (8.9-10.8)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Illinois","IL","Total","Total","9.1","7.9","10.3","9.1 (7.9-10.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Indiana","IN","Total","Total","10.5","9.7","11.2","10.5 (9.7-11.2)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Iowa","IA","Total","Total","8.6","7.8","9.3","8.6 (7.8-9.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Kansas","KS","Total","Total","9.6","8.8","10.4","9.6 (8.8-10.4)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Louisiana","LA","Total","Total","11.8","10.7","12.9","11.8 (10.7-12.9)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Maine","ME","Total","Total","11.4","10.6","12.3","11.4 (10.6-12.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Maryland","MD","Total","Total","8.5","7.8","9.2","8.5 (7.8-9.2)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Massachusetts","MA","Total","Total","9.4","8.5","10.3","9.4 (8.5-10.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Michigan","MI","Total","Total","11.3","10.4","12.1","11.3 (10.4-12.1)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Minnesota","MN","Total","Total","8.3","7.6","9.0","8.3 (7.6-9.0)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Mississippi","MS","Total","Total","10.8","9.5","12.1","10.8 (9.5-12.1)",,
