Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Vermont,VT,Total,Total,15.1,13.9,16.4,15.1 (13.9-16.4),14.5% - 15.6%,26-50th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Connecticut,CT,Total,Total,14.3,13.2,15.5,14.3 (13.2-15.5),12.4% - 14.3%,0-25th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Maine,ME,Total,Total,18.0,16.9,19.2,18.0 (16.9-19.2),17.0% - 22.0%,76-100th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Massachusetts,MA,Total,Total,14.8,13.8,15.9,14.8 (13.8-15.9),14.7% - 15.4%,26-50th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Hampshire,NH,Total,Total,15.4,13.9,16.8,15.4 (13.9-16.8),14.7% - 15.4%,26-50th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Jersey,NJ,Total,Total,13.8,12.7,14.9,13.8 (12.7-14.9),12.4% - 14.3%,0-25th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New York,NY,Total,Total,14.2,13.4,15.0,14.2 (13.4-15.0),12.4% - 14.3%,0-25th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Rhode Island,RI,Total,Total,16.2,14.6,17.8,16.2 (14.6-17.8),15.5% - 16.7%,51-75th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Vermont,VT,Total,Total,15.8,14.4,17.1,15.8 (14.4-17.1),15.5% - 16.7%,51-75th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Connecticut,CT,Total,Total,14.5,13.3,15.6,14.5 (13.3-15.6),9.9% - 14.5%,0-25th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Maine,ME,Total,Total,16.3,15.1,17.4,16.3 (15.1-17.4),15.9% - 16.5%,51-75th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Massachusetts,MA,Total,Total,14.6,13.7,15.6,14.6 (13.7-15.6),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Hampshire,NH,Total,Total,16.7,15.2,18.2,16.7 (15.2-18.2),16.7% - 21.1%,76-100th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Jersey,NJ,Total,Total,13.7,12.6,14.8,13.7 (12.6-14.8),9.9% - 14.5%,0-25th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New York,NY,Total,Total,15.4,14.6,16.2,15.4 (14.6-16.2),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Pennsylvania,PA,Total,Total,14.9,13.4,16.5,14.9 (13.4-16.5),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Rhode Island,RI,Total,Total,15.5,14.1,16.9,15.5 (14.1-16.9),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Vermont,VT,Total,Total,16.2,14.9,17.4,16.2 (14.9-17.4),15.9% - 16.5%,51-75th percentile
