Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Massachusetts,MA,Total,Total,31.1,29.8,32.4,31.1 (29.8-32.4),30.3% - 32.0%,26-50th percentile
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New Hampshire,NH,Total,Total,32.1,30.2,34,32.1 (30.2-34),32.1% - 33.3%,51-75th percentile
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New Jersey,NJ,Total,Total,29.6,27.9,31.2,29.6 (27.9-31.2),27.0% - 29.9%,0-25th percentile
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New York,NY,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Rhode Island,RI,Total,Total,32.2,30.2,34.1,32.2 (30.2-34.1),32.1% - 33.3%,51-75th percentile
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Vermont,VT,Total,Total,31.8,30.2,33.3,31.8 (30.2-33.3),30.3% - 32.0%,26-50th percentile
2024,How often do you get the social and emotional support that you need? (optional module),Connecticut,CT,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2024,How often do you get the social and emotional support that you need? (optional module),Maine,ME,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2024,How often do you get the social and emotional support that you need? (optional module),Massachusetts,MA,Total,Total,76.6,75.3,77.9,76.6 (75.3-77.9),76.3% - 77.6%,51-75th percentile
2024,How often do you get the social and emotional support that you need? (optional module),New Hampshire,NH,Total,Total,76.3,74.5,78.1,76.3 (74.5-78.1),76.3% - 77.6%,51-75th percentile
2024,How often do you get the social and emotional support that you need? (optional module),New Jersey,NJ,Total,Total,75.1,73.7,76.6,75.1 (73.7-76.6),74.8% - 76.1%,26-50th percentile
2024,How often do you get the social and emotional support that you need? (optional module),New York,NY,Total,Total,71.2,70.0,72.4,71.2 (70.0-72.4),68.2% - 74.7%,0-25th percentile
2024,How often do you get the social and emotional support that you need? (optional module),Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2024,How often do you get the social and emotional support that you need? (optional module),Rhode Island,RI,Total,Total,75.8,74.0,77.5,75.8 (74.0-77.5),74.8% - 76.1%,26-50th percentile
2024,How often do you get the social and emotional support that you need? (optional module),Vermont,VT,Total,Total,79.6,78.2,81.1,79.6 (78.2-81.1),77.8% - 85.4%,76-100th percentile
2023,How often do you get the social and emotional support that you need? (optional module),Connecticut,CT,Total,Total,75.6,74.1,77.2,75.6 (74.1-77.2),71.5% - 75.9%,0-25th percentile
2023,How often do you get the social and emotional support that you need? (optional module),Maine,ME,Total,Total,78.7,77.5,79.9,78.7 (77.5-79.9),78.0% - 79.4%,51-75th percentile
2023,How often do you get the social and emotional support that you need? (optional module),Massachusetts,MA,Total,Total,77.3,75.9,78.7,77.3 (75.9-78.7),76.2% - 77.8%,26-50th percentile
2023,How often do you get the social and emotional support that you need? (optional module),New Hampshire,NH,Total,Total,79.3,77.6,80.9,79.3 (77.6-80.9),78.0% - 79.4%,51-75th percentile
2023,How often do you get the social and emotional support that you need? (optional module),New Jersey,NJ,Total,Total,77.2,75.7,78.6,77.2 (75.7-78.6),76.2% - 77.8%,26-50th percentile
2023,How often do you get the social and emotional support that you need? (optional module),New York,NY,Total,Total,73.5,72.1,74.8,73.5 (72.1-74.8),71.5% - 75.9%,0-25th percentile
2023,How often do you get the social and emotional support that you need? (optional module),Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2023,How often do you get the social and emotional support that you need? (optional module),Rhode Island,RI,Total,Total,79.4,77.7,81.1,79.4 (77.7-81.1),78.0% - 79.4%,51-75th percentile
2023,How often do you get the social and emotional support that you need? (optional module),Vermont,VT,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2022,How often do you get the social and emotional support that you need? (optional module),Connecticut,CT,Total,Total,75.4,73.9,76.9,75.4 (73.9-76.9),75.0% - 76.8%,26-50th percentile
2022,How often do you get the social and emotional support that you need? (optional module),Maine,ME,Total,Total,80.1,78.8,81.3,80.1 (78.8-81.3),78.7% - 81.1%,76-100th percentile
2022,How often do you get the social and emotional support that you need? (optional module),Massachusetts,MA,Total,Total,77.5,76.3,78.7,77.5 (76.3-78.7),77.1% - 78.4%,51-75th percentile
2022,How often do you get the social and emotional support that you need? (optional module),New Hampshire,NH,Total,Total,76.3,74.5,78,76.3 (74.5-78),75.0% - 76.8%,26-50th percentile
2022,How often do you get the social and emotional support that you need? (optional module),New Jersey,NJ,Total,Total,73.9,72.3,75.5,73.9 (72.3-75.5),62.1% - 74.6%,0-25th percentile
2022,How often do you get the social and emotional support that you need? (optional module),New York,NY,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2022,How often do you get the social and emotional support that you need? (optional module),Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2022,How often do you get the social and emotional support that you need? (optional module),Rhode Island,RI,Total,Total,75.2,73.4,77.1,75.2 (73.4-77.1),75.0% - 76.8%,26-50th percentile
2022,How often do you get the social and emotional support that you need? (optional module),Vermont,VT,Total,Total,78.4,76.9,79.8,78.4 (76.9-79.8),77.1% - 78.4%,51-75th percentile
2024,"In general, how satisfied are you with your life? (optional module)",Massachusetts,MA,Total,Total,94.2,93.5,94.8,94.2 (93.5-94.8),N/A,N/A
2024,"In general, how satisfied are you with your life? (optional module)",New Hampshire,NH,Total,Total,92.6,91.4,93.8,92.6 (91.4-93.8),N/A,N/A
2024,"In general, how satisfied are you with your life? (optional module)",New Jersey,NJ,Total,Total,95.2,94.6,95.9,95.2 (94.6-95.9),N/A,N/A
2024,"In general, how satisfied are you with your life? (optional module)",New York,NY,Total,Total,93.6,92.9,94.2,93.6 (92.9-94.2),N/A,N/A
2024,"In general, how satisfied are you with your life? (optional module)",Rhode Island,RI,Total,Total,94.4,93.5,95.3,94.4 (93.5-95.3),N/A,N/A
2024,"In general, how satisfied are you with your life? (optional module)",Vermont,VT,Total,Total,94.7,93.9,95.6,94.7 (93.9-95.6),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",Connecticut,CT,Total,Total,93.0,92.0,94.1,93.0 (92.0-94.1),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",Maine,ME,Total,Total,92.9,92.1,93.7,92.9 (92.1-93.7),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",Massachusetts,MA,Total,Total,93.4,92.6,94.2,93.4 (92.6-94.2),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",New Hampshire,NH,Total,Total,94.3,93.4,95.3,94.3 (93.4-95.3),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",New Jersey,NJ,Total,Total,95.0,94.3,95.7,95.0 (94.3-95.7),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",New York,NY,Total,Total,93.5,92.7,94.3,93.5 (92.7-94.3),N/A,N/A
2023,"In general, how satisfied are you with your life? (optional module)",Rhode Island,RI,Total,Total,93.3,92.2,94.5,93.3 (92.2-94.5),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",Connecticut,CT,Total,Total,94.5,93.7,95.2,94.5 (93.7-95.2),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",Maine,ME,Total,Total,94.5,93.8,95.2,94.5 (93.8-95.2),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",Massachusetts,MA,Total,Total,94.9,94.3,95.6,94.9 (94.3-95.6),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",New Hampshire,NH,Total,Total,92.4,91.3,93.6,92.4 (91.3-93.6),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",New Jersey,NJ,Total,Total,94.0,93.1,94.9,94.0 (93.1-94.9),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",Rhode Island,RI,Total,Total,93.7,92.7,94.7,93.7 (92.7-94.7),N/A,N/A
2022,"In general, how satisfied are you with your life? (optional module)",Vermont,VT,Total,Total,94.0,93.1,94.8,94.0 (93.1-94.8),N/A,N/A
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Connecticut,CT,Total,Total,13.9,12.8,15.1,13.9 (12.8-15.1),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Maine,ME,Total,Total,16.4,15.5,17.4,16.4 (15.5-17.4),15.7% - 16.9%,51-75th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Massachusetts,MA,Total,Total,13.3,12.4,14.2,13.3 (12.4-14.2),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Hampshire,NH,Total,Total,15.0,13.5,16.5,15.0 (13.5-16.5),14.5% - 15.6%,26-50th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Jersey,NJ,Total,Total,13.2,12.3,14.2,13.2 (12.3-14.2),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New York,NY,Total,Total,14.2,13.7,14.7,14.2 (13.7-14.7),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Pennsylvania,PA,Total,Total,16.0,14.3,17.6,16.0 (14.3-17.6),15.7% - 16.9%,51-75th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Rhode Island,RI,Total,Total,14.5,13.1,15.8,14.5 (13.1-15.8),14.5% - 15.6%,26-50th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Vermont,VT,Total,Total,15.1,13.9,16.4,15.1 (13.9-16.4),14.5% - 15.6%,26-50th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Connecticut,CT,Total,Total,14.3,13.2,15.5,14.3 (13.2-15.5),12.4% - 14.3%,0-25th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Maine,ME,Total,Total,18.0,16.9,19.2,18.0 (16.9-19.2),17.0% - 22.0%,76-100th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Massachusetts,MA,Total,Total,14.8,13.8,15.9,14.8 (13.8-15.9),14.7% - 15.4%,26-50th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Hampshire,NH,Total,Total,15.4,13.9,16.8,15.4 (13.9-16.8),14.7% - 15.4%,26-50th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Jersey,NJ,Total,Total,13.8,12.7,14.9,13.8 (12.7-14.9),12.4% - 14.3%,0-25th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New York,NY,Total,Total,14.2,13.4,15.0,14.2 (13.4-15.0),12.4% - 14.3%,0-25th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Rhode Island,RI,Total,Total,16.2,14.6,17.8,16.2 (14.6-17.8),15.5% - 16.7%,51-75th percentile
2023,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Vermont,VT,Total,Total,15.8,14.4,17.1,15.8 (14.4-17.1),15.5% - 16.7%,51-75th percentile
